"No,";Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay;;Delay 1;Delay 2 ;Jitter
4478;95.919.195;"95,919195";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56937 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"95,919195";"95,934488";;"0,015293";;"0,013567";"0,001726";"-0,011841"
4479;95.934.488;"95,934488";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"95,934488";"95,936214";;"0,001726";;"-0,256589";"0,258315";"0,514904"
4480;95.936.214;"95,936214";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"95,936214";"96,194529";;"0,258315";;"0,258205";"0,00011";"-0,258095"
4481;96.194.529;"96,194529";"104,22,1,235";"192,168,100,98";TLSv1;177;"[TCP Spurious Retransmission] , Encrypted Handshake Message, Change Cipher Spec, Encrypted Handshake Message";;;"96,194529";"96,194639";;"0,00011";;"-0,023277";"0,023387";"0,046664"
4482;96.194.639;"96,194639";"192,168,100,98";"104,22,1,235";TCP;66;[TCP Dup ACK 4480#1] 56937  >  443 [ACK] Seq=964 Ack=124 Win=131328 Len=0 SLE=1 SRE=124;;;"96,194639";"96,218026";;"0,023387";;"-0,03093";"0,054317";"0,085247"
4483;96.218.026;"96,218026";"192,168,100,98";"104,22,1,235";TCP;805;"[TCP Retransmission] 56937  >  443 [PSH, ACK] Seq=319 Ack=124 Win=131328 Len=751";;;"96,218026";"96,272343";;"0,054317";;"-0,111853";"0,16617";"0,278023"
4484;96.272.343;"96,272343";"104,22,1,235";"192,168,100,98";TCP;56;[TCP ACKed unseen segment] 443  >  56937 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"96,272343";"96,438513";;"0,16617";;"0,142047";"0,024123";"-0,117924"
4485;96.438.513;"96,438513";"192,168,100,98";"103,208,137,6";TCP;55;[TCP Keep-Alive] 55911  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1;;;"96,438513";"96,462636";;"0,024123";;"-0,015011";"0,039134";"0,054145"
4487;96.462.636;"96,462636";"103,208,137,6";"192,168,100,98";TCP;66;[TCP Keep-Alive ACK] 443  >  55911 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2;;;"96,462636";"96,501770";;"0,039134";;"0,03903";"0,000104";"-0,038926"
4488;96.501.770;"96,501770";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56937 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"96,501770";"96,501874";;"0,000104";;"-0,014905";"0,015009";"0,029914"
4489;96.501.874;"96,501874";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4480#2] 56937  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"96,501874";"96,516883";;"0,015009";;"0,014863";"0,000146";"-0,014717"
4490;96.516.883;"96,516883";"104,22,1,235";"192,168,100,98";TLSv1;955;"[TCP Fast Retransmission] , Application Data";;;"96,516883";"96,517029";;"0,000146";;"-0,000638";"0,000784";"0,001422"
4491;96.517.029;"96,517029";"192,168,100,98";"104,22,1,235";TCP;54;56937  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"96,517029";"96,517813";;"0,000784";;"-0,031855";"0,032639";"0,064494"
4492;96.517.813;"96,517813";"192,168,100,98";"104,22,1,235";TCP;54;"56937  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"96,517813";"96,550452";;"0,032639";;"0,009542";"0,023097";"0,013555"
4493;96.550.452;"96,550452";"192,168,100,98";"104,22,1,235";TCP;66;56938  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"96,550452";"96,573549";;"0,023097";;"0,000124";"0,022973";"0,022849"
4494;96.573.549;"96,573549";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56937 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"96,573549";"96,596522";;"0,022973";;"0,022772";"0,000201";"-0,022571"
4495;96.596.522;"96,596522";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56938 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"96,596522";"96,596723";;"0,000201";;"-0,002007";"0,002208";"0,004215"
4496;96.596.723;"96,596723";"192,168,100,98";"104,22,1,235";TCP;54;56938  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"96,596723";"96,598931";;"0,002208";;"-0,046059";"0,048267";"0,094326"
4497;96.598.931;"96,598931";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"96,598931";"96,647198";;"0,048267";;"0,031048";"0,017219";"-0,013829"
4498;96.647.198;"96,647198";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56938 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"96,647198";"96,664417";;"0,017219";;"0,015505";"0,001714";"-0,013791"
4499;96.664.417;"96,664417";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"96,664417";"96,666131";;"0,001714";;"-0,258026";"0,25974";"0,517766"
4500;96.666.131;"96,666131";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"96,666131";"96,925871";;"0,25974";;"0,259631";"0,000109";"-0,259522"
4501;96.925.871;"96,925871";"104,22,1,235";"192,168,100,98";TLSv1;177;"[TCP Spurious Retransmission] , Encrypted Handshake Message, Change Cipher Spec, Encrypted Handshake Message";;;"96,925871";"96,925980";;"0,000109";;"-0,012539";"0,012648";"0,025187"
4502;96.925.980;"96,925980";"192,168,100,98";"104,22,1,235";TCP;66;[TCP Dup ACK 4500#1] 56938  >  443 [ACK] Seq=964 Ack=124 Win=131328 Len=0 SLE=1 SRE=124;;;"96,925980";"96,938628";;"0,012648";;"-0,036141";"0,048789";"0,08493"
4503;96.938.628;"96,938628";"192,168,100,98";"104,22,1,235";TCP;805;"[TCP Retransmission] 56938  >  443 [PSH, ACK] Seq=319 Ack=124 Win=131328 Len=751";;;"96,938628";"96,987417";;"0,048789";;"-0,300221";"0,34901";"0,649231"
4504;96.987.417;"96,987417";"104,22,1,235";"192,168,100,98";TCP;56;[TCP ACKed unseen segment] 443  >  56938 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"96,987417";"97,336427";;"0,34901";;"0,348895";"0,000115";"-0,34878"
4505;97.336.427;"97,336427";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56938 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"97,336427";"97,336542";;"0,000115";;"-0,018427";"0,018542";"0,036969"
4506;97.336.542;"97,336542";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4500#2] 56938  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"97,336542";"97,355084";;"0,018542";;"0,01835";"0,000192";"-0,018158"
4507;97.355.084;"97,355084";"104,22,1,235";"192,168,100,98";TLSv1;955;"[TCP Fast Retransmission] , Application Data";;;"97,355084";"97,355276";;"0,000192";;"-0,000496";"0,000688";"0,001184"
4508;97.355.276;"97,355276";"192,168,100,98";"104,22,1,235";TCP;54;56938  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"97,355276";"97,355964";;"0,000688";;"-0,044695";"0,045383";"0,090078"
4509;97.355.964;"97,355964";"192,168,100,98";"104,22,1,235";TCP;54;"56938  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"97,355964";"97,401347";;"0,045383";;"0,04507";"0,000313";"-0,044757"
4510;97.401.347;"97,401347";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56938 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"97,401347";"97,401660";;"0,000313";;"-0,055752";"0,056065";"0,111817"
4511;97.401.660;"97,401660";"192,168,100,98";"104,22,1,235";TCP;66;56939  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"97,401660";"97,457725";;"0,056065";;"0,0559";"0,000165";"-0,055735"
4512;97.457.725;"97,457725";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56939 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"97,457725";"97,457890";;"0,000165";;"-0,000764";"0,000929";"0,001693"
4513;97.457.890;"97,457890";"192,168,100,98";"104,22,1,235";TCP;54;56939  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"97,457890";"97,458819";;"0,000929";;"-0,068352";"0,069281";"0,137633"
4514;97.458.819;"97,458819";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"97,458819";"97,528100";;"0,069281";;"0,046937";"0,022344";"-0,024593"
4516;97.528.100;"97,528100";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56939 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"97,528100";"97,550444";;"0,022344";;"0,020337";"0,002007";"-0,01833"
4517;97.550.444;"97,550444";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"97,550444";"97,552451";;"0,002007";;"-0,05359";"0,055597";"0,109187"
4518;97.552.451;"97,552451";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"97,552451";"97,608048";;"0,055597";;"0,055494";"0,000103";"-0,055391"
4519;97.608.048;"97,608048";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56939 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"97,608048";"97,608151";;"0,000103";;"-0,052662";"0,052765";"0,105427"
4520;97.608.151;"97,608151";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"97,608151";"97,660916";;"0,052765";;"-0,179145";"0,23191";"0,411055"
4521;97.660.916;"97,660916";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56939 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"97,660916";"97,892826";;"0,23191";;"0,231813";"9,7E-05";"-0,231716"
4522;97.892.826;"97,892826";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56939 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"97,892826";"97,892923";;"9,7E-05";;"-0,011381";"0,011478";"0,022859"
4523;97.892.923;"97,892923";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4518#1] 56939  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"97,892923";"97,904401";;"0,011478";;"0,011312";"0,000166";"-0,011146"
4524;97.904.401;"97,904401";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56939 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"97,904401";"97,904567";;"0,000166";;"-0,000511";"0,000677";"0,001188"
4525;97.904.567;"97,904567";"192,168,100,98";"104,22,1,235";TCP;54;56939  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"97,904567";"97,905244";;"0,000677";;"-0,041056";"0,041733";"0,082789"
4526;97.905.244;"97,905244";"192,168,100,98";"104,22,1,235";TCP;54;"56939  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"97,905244";"97,946977";;"0,041733";;"0,021074";"0,020659";"-0,000415"
4527;97.946.977;"97,946977";"192,168,100,98";"104,22,1,235";TCP;66;56940  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"97,946977";"97,967636";;"0,020659";;"-0,04002";"0,060679";"0,100699"
4528;97.967.636;"97,967636";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56939 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"97,967636";"98,028315";;"0,060679";;"0,060494";"0,000185";"-0,060309"
4529;98.028.315;"98,028315";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56940 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"98,028315";"98,028500";;"0,000185";;"-0,000656";"0,000841";"0,001497"
4530;98.028.500;"98,028500";"192,168,100,98";"104,22,1,235";TCP;54;56940  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"98,028500";"98,029341";;"0,000841";;"-0,077631";"0,078472";"0,156103"
4531;98.029.341;"98,029341";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"98,029341";"98,107813";;"0,078472";;"0,061892";"0,01658";"-0,045312"
4532;98.107.813;"98,107813";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56940 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"98,107813";"98,124393";;"0,01658";;"0,014435";"0,002145";"-0,01229"
4533;98.124.393;"98,124393";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"98,124393";"98,126538";;"0,002145";;"-0,069929";"0,072074";"0,142003"
4534;98.126.538;"98,126538";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"98,126538";"98,198612";;"0,072074";;"0,072005";"6,9E-05";"-0,071936"
4535;98.198.612;"98,198612";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56940 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"98,198612";"98,198681";;"6,9E-05";;"-0,093603";"0,093672";"0,187275"
4536;98.198.681;"98,198681";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"98,198681";"98,292353";;"0,093672";;"-0,152347";"0,246019";"0,398366"
4537;98.292.353;"98,292353";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56940 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"98,292353";"98,538372";;"0,246019";;"0,245949";7E-05;"-0,245879"
4538;98.538.372;"98,538372";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56940 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"98,538372";"98,538442";;7E-05;;"-0,016042";"0,016112";"0,032154"
4539;98.538.442;"98,538442";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4534#1] 56940  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"98,538442";"98,554554";;"0,016112";;"0,015852";"0,00026";"-0,015592"
4540;98.554.554;"98,554554";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56940 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"98,554554";"98,554814";;"0,00026";;"-0,000519";"0,000779";"0,001298"
4541;98.554.814;"98,554814";"192,168,100,98";"104,22,1,235";TCP;54;56940  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"98,554814";"98,555593";;"0,000779";;"-0,028363";"0,029142";"0,057505"
4542;98.555.593;"98,555593";"192,168,100,98";"104,22,1,235";TCP;54;"56940  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"98,555593";"98,584735";;"0,029142";;"-0,016211";"0,045353";"0,061564"
4543;98.584.735;"98,584735";"192,168,100,98";"104,22,1,235";TCP;66;56941  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"98,584735";"98,630088";;"0,045353";;"0,014837";"0,030516";"0,015679"
4544;98.630.088;"98,630088";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56940 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"98,630088";"98,660604";;"0,030516";;"0,030339";"0,000177";"-0,030162"
4545;98.660.604;"98,660604";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56941 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"98,660604";"98,660781";;"0,000177";;"-0,000736";"0,000913";"0,001649"
4546;98.660.781;"98,660781";"192,168,100,98";"104,22,1,235";TCP;54;56941  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"98,660781";"98,661694";;"0,000913";;"-0,072899";"0,073812";"0,146711"
4547;98.661.694;"98,661694";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"98,661694";"98,735506";;"0,073812";;"0,054661";"0,019151";"-0,03551"
4548;98.735.506;"98,735506";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56941 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"98,735506";"98,754657";;"0,019151";;"0,017379";"0,001772";"-0,015607"
4549;98.754.657;"98,754657";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"98,754657";"98,756429";;"0,001772";;"-0,052546";"0,054318";"0,106864"
4550;98.756.429;"98,756429";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"98,756429";"98,810747";;"0,054318";;"0,054223";"9,5E-05";"-0,054128"
4551;98.810.747;"98,810747";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56941 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"98,810747";"98,810842";;"9,5E-05";;"-0,050689";"0,050784";"0,101473"
4552;98.810.842;"98,810842";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"98,810842";"98,861626";;"0,050784";;"-0,184275";"0,235059";"0,419334"
4553;98.861.626;"98,861626";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56941 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"98,861626";"99,096685";;"0,235059";;"0,234932";"0,000127";"-0,234805"
4554;99.096.685;"99,096685";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56941 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"99,096685";"99,096812";;"0,000127";;"-0,017477";"0,017604";"0,035081"
4555;99.096.812;"99,096812";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4550#1] 56941  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"99,096812";"99,114416";;"0,017604";;"0,017429";"0,000175";"-0,017254"
4556;99.114.416;"99,114416";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56941 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"99,114416";"99,114591";;"0,000175";;"-0,000525";"0,0007";"0,001225"
4557;99.114.591;"99,114591";"192,168,100,98";"104,22,1,235";TCP;54;56941  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"99,114591";"99,115291";;"0,0007";;"-0,04986";"0,05056";"0,10042"
4558;99.115.291;"99,115291";"192,168,100,98";"104,22,1,235";TCP;54;"56941  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"99,115291";"99,165851";;"0,05056";;"0,043851";"0,006709";"-0,037142"
4559;99.165.851;"99,165851";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56941 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"99,165851";"99,172560";;"0,006709";;"-0,077263";"0,083972";"0,161235"
4560;99.172.560;"99,172560";"192,168,100,98";"104,22,1,235";TCP;66;56942  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"99,172560";"99,256532";;"0,083972";;"0,083735";"0,000237";"-0,083498"
4561;99.256.532;"99,256532";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56942 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"99,256532";"99,256769";;"0,000237";;"-0,000696";"0,000933";"0,001629"
4562;99.256.769;"99,256769";"192,168,100,98";"104,22,1,235";TCP;54;56942  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"99,256769";"99,257702";;"0,000933";;"-0,096738";"0,097671";"0,194409"
4563;99.257.702;"99,257702";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"99,257702";"99,355373";;"0,097671";;"0,077578";"0,020093";"-0,057485"
4564;99.355.373;"99,355373";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56942 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"99,355373";"99,375466";;"0,020093";;"0,018336";"0,001757";"-0,016579"
4565;99.375.466;"99,375466";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"99,375466";"99,377223";;"0,001757";;"-0,082474";"0,084231";"0,166705"
4566;99.377.223;"99,377223";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"99,377223";"99,461454";;"0,084231";;"0,084096";"0,000135";"-0,083961"
4567;99.461.454;"99,461454";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56942 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"99,461454";"99,461589";;"0,000135";;"-0,048288";"0,048423";"0,096711"
4568;99.461.589;"99,461589";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"99,461589";"99,510012";;"0,048423";;"-0,182926";"0,231349";"0,414275"
4569;99.510.012;"99,510012";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56942 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"99,510012";"99,741361";;"0,231349";;"0,231234";"0,000115";"-0,231119"
4570;99.741.361;"99,741361";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56942 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"99,741361";"99,741476";;"0,000115";;"-0,013959";"0,014074";"0,028033"
4571;99.741.476;"99,741476";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4566#1] 56942  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"99,741476";"99,755550";;"0,014074";;"0,013898";"0,000176";"-0,013722"
4572;99.755.550;"99,755550";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56942 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"99,755550";"99,755726";;"0,000176";;"-0,000613";"0,000789";"0,001402"
4573;99.755.726;"99,755726";"192,168,100,98";"104,22,1,235";TCP;54;56942  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"99,755726";"99,756515";;"0,000789";;"-0,045081";"0,04587";"0,090951"
4574;99.756.515;"99,756515";"192,168,100,98";"104,22,1,235";TCP;54;"56942  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"99,756515";"99,802385";;"0,04587";;"0,044679";"0,001191";"-0,043488"
4575;99.802.385;"99,802385";"192,168,100,98";"104,22,1,235";TCP;66;56943  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"99,802385";"99,803576";;"0,001191";;"-0,047014";"0,048205";"0,095219"
4576;99.803.576;"99,803576";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56942 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"99,803576";"99,851781";;"0,048205";;"0,048028";"0,000177";"-0,047851"
4577;99.851.781;"99,851781";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56943 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"99,851781";"99,851958";;"0,000177";;"-0,000529";"0,000706";"0,001235"
4578;99.851.958;"99,851958";"192,168,100,98";"104,22,1,235";TCP;54;56943  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"99,851958";"99,852664";;"0,000706";;"-0,063217";"0,063923";"0,12714"
4579;99.852.664;"99,852664";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"99,852664";"99,916587";;"0,063923";;"0,045397";"0,018526";"-0,026871"
4580;99.916.587;"99,916587";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56943 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"99,916587";"99,935113";;"0,018526";;"0,016681";"0,001845";"-0,014836"
4581;99.935.113;"99,935113";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"99,935113";"99,936958";;"0,001845";;"-0,047549";"0,049394";"0,096943"
4582;99.936.958;"99,936958";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"99,936958";"99,986352";;"0,049394";;"0,0493";"9,4E-05";"-0,049206"
4583;99.986.352;"99,986352";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56943 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"99,986352";"99,986446";;"9,4E-05";;"-0,279769";"0,279863";"0,559632"
4584;99.986.446;"99,986446";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"99,986446";"100,266309";;"0,279863";;"0,228875";"0,050988";"-0,177887"
4585;100.266.309;"100,266309";"192,168,100,98";"104,22,1,235";TCP;160;"[TCP Retransmission] 56943  >  443 [PSH, ACK] Seq=964 Ack=124 Win=131328 Len=106";;;"100,266309";"100,317297";;"0,050988";;"-0,177649";"0,228637";"0,406286"
4586;100.317.297;"100,317297";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56943 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"100,317297";"100,545934";;"0,228637";;"0,228494";"0,000143";"-0,228351"
4587;100.545.934;"100,545934";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56943 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"100,545934";"100,546077";;"0,000143";;"-0,018501";"0,018644";"0,037145"
4588;100.546.077;"100,546077";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 4582#1] 56943  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"100,546077";"100,564721";;"0,018644";;"0,018387";"0,000257";"-0,01813"
4589;100.564.721;"100,564721";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56943 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"100,564721";"100,564978";;"0,000257";;"-0,000564";"0,000821";"0,001385"
4590;100.564.978;"100,564978";"192,168,100,98";"104,22,1,235";TCP;54;56943  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"100,564978";"100,565799";;"0,000821";;"-0,044397";"0,045218";"0,089615"
4591;100.565.799;"100,565799";"192,168,100,98";"104,22,1,235";TCP;54;"56943  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"100,565799";"100,611017";;"0,045218";;"0,042043";"0,003175";"-0,038868"
4592;100.611.017;"100,611017";"192,168,100,98";"104,22,1,235";TCP;66;56944  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"100,611017";"100,614192";;"0,003175";;"-0,042909";"0,046084";"0,088993"
4593;100.614.192;"100,614192";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56943 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"100,614192";"100,660276";;"0,046084";;"0,045954";"0,00013";"-0,045824"
